experiment_name,condition,round,agent_id,opponent_id,game,action,opponent_action,payoff,cumulative_payoff,reputation,temperature,reflection_depth,risk_tendency,mode,confidence,risk_level,reason,is_malicious
rex_baseline,reputation_linear,1,19,5,prisoner_dilemma,cooperate,defect,0.0,0.0,0.57,0.5,2,medium,linear,0.6749021517428198,0.5,"standard mock policy chose cooperate; p_cooperate=0.675, mode=linear, risk=medium",False
rex_baseline,reputation_linear,1,5,19,prisoner_dilemma,defect,cooperate,5.0,5.0,0.35000000000000003,0.5,2,medium,linear,0.8120233197967992,0.65,"standard mock policy chose defect; p_cooperate=0.812, mode=linear, risk=medium",False
rex_baseline,reputation_linear,1,14,4,prisoner_dilemma,defect,cooperate,5.0,5.0,0.35000000000000003,0.5,2,medium,linear,0.722859587360185,0.65,"standard mock policy chose defect; p_cooperate=0.723, mode=linear, risk=medium",False
rex_baseline,reputation_linear,1,4,14,prisoner_dilemma,cooperate,defect,0.0,0.0,0.57,0.5,2,medium,linear,0.7768667715340288,0.5,"standard mock policy chose cooperate; p_cooperate=0.777, mode=linear, risk=medium",False
rex_baseline,reputation_linear,1,9,13,prisoner_dilemma,cooperate,defect,0.0,0.0,0.57,0.5,2,medium,linear,0.6592796464539905,0.5,"standard mock policy chose cooperate; p_cooperate=0.659, mode=linear, risk=medium",False
rex_baseline,reputation_linear,1,13,9,prisoner_dilemma,defect,cooperate,5.0,5.0,0.35000000000000003,0.5,2,medium,linear,0.7725207500253028,0.65,"standard mock policy chose defect; p_cooperate=0.773, mode=linear, risk=medium",False
rex_baseline,reputation_linear,1,15,18,prisoner_dilemma,defect,defect,1.0,1.0,0.35000000000000003,0.5,2,medium,linear,0.6811275706038536,0.65,"standard mock policy chose defect; p_cooperate=0.681, mode=linear, risk=medium",False
rex_baseline,reputation_linear,1,18,15,prisoner_dilemma,defect,defect,1.0,1.0,0.35000000000000003,0.5,2,medium,linear,0.6964988578198643,0.65,"standard mock policy chose defect; p_cooperate=0.696, mode=linear, risk=medium",False
rex_baseline,reputation_linear,1,6,12,prisoner_dilemma,cooperate,cooperate,3.0,3.0,0.57,0.5,2,medium,linear,0.7947879135274662,0.5,"standard mock policy chose cooperate; p_cooperate=0.795, mode=linear, risk=medium",False
rex_baseline,reputation_linear,1,12,6,prisoner_dilemma,cooperate,cooperate,3.0,3.0,0.57,0.5,2,medium,linear,0.813513790770011,0.5,"standard mock policy chose cooperate; p_cooperate=0.814, mode=linear, risk=medium",False
rex_baseline,reputation_linear,1,17,10,prisoner_dilemma,cooperate,cooperate,3.0,3.0,0.57,0.5,2,medium,linear,0.7775447788916547,0.5,"standard mock policy chose cooperate; p_cooperate=0.778, mode=linear, risk=medium",False
